bps,sharpe,sortino,max_dd,turnover,dsr,method
0.0,-0.1507950827231889,-0.21465642016220407,-0.09947164129409247,0.2251566966128434,0.28144796299894903,sleeve_5d
2.0,-0.5754820540520571,-0.8011050292058429,-0.2169156293389679,0.2251566966128434,0.013805718450417948,sleeve_5d
5.0,-1.1994835788316973,-1.616266510300171,-0.38453241790766646,0.2251566966128434,2.450669039255615e-06,sleeve_5d
10.0,-2.201992929532104,-2.8178216824443507,-0.5948537912596261,0.2251566966128434,5.551115123125783e-17,sleeve_5d
0.0,-0.34793987331236464,-0.47989050098692676,-0.17041319121973297,0.16373772235423792,0.091015823473312,sleeve_10d
2.0,-0.6624118526692543,-0.8995221371259023,-0.2458504116611454,0.16373772235423792,0.005577931126688029,sleeve_10d
5.0,-1.1271952708545645,-1.4960216531749297,-0.3674031062164299,0.16373772235423792,8.198477308096752e-06,sleeve_10d
10.0,-1.8816253666500506,-2.406686923916159,-0.5313661027293959,0.16373772235423792,4.0123460109953157e-13,sleeve_10d
0.0,0.18990449438637957,0.27338543038101704,-0.06897622083892119,0.11197249129719679,0.7672779474114715,sleeve_20d
2.0,-0.026590233946479358,-0.03785715266302908,-0.09939070598967636,0.11197249129719679,0.459353519695535,sleeve_20d
5.0,-0.3485237115879233,-0.48809602715089534,-0.1820079101993357,0.11197249129719679,0.09099396229415418,sleeve_20d
10.0,-0.876689591647333,-1.1950903801126653,-0.3300068301216885,0.11197249129719679,0.0004152624990508835,sleeve_20d
0.0,0.22412809784810792,0.3262629349756498,-0.0913062571193648,0.1097844819083749,0.8057707101291147,sleeve_21d
2.0,0.013111152862487188,0.01887693362407278,-0.11082999520663106,0.1097844819083749,0.5200747023309117,sleeve_21d
5.0,-0.3008053396575095,-0.42606168489599267,-0.1726709928201412,0.1097844819083749,0.12488861889042585,sleeve_21d
10.0,-0.8161670354318267,-1.1254453365771906,-0.3192475228626397,0.1097844819083749,0.0009592583272319821,sleeve_21d
0.0,0.613326768565516,0.8756276592654104,-0.052898238730674785,0.05995169158757995,0.9904633806943748,sleeve_63d
2.0,0.501212461264572,0.7116315600811632,-0.06228905549180841,0.05995169158757995,0.9724001433024152,sleeve_63d
5.0,0.3335457848376814,0.46968885855163983,-0.076201617951422,0.05995169158757995,0.8992936765803261,sleeve_63d
10.0,0.055674664961172834,0.07733629671858534,-0.11411128608605914,0.05995169158757995,0.5845931265823148,sleeve_63d
0.0,0.6447620576505775,0.9078082074759689,-0.042858611362610155,0.027511790593079743,0.9929432338232103,sleeve_252d
2.0,0.5873172053172291,0.8245665752104787,-0.04525097535254763,0.027511790593079743,0.9873709976225192,sleeve_252d
5.0,0.5012116245722994,0.7006748451192475,-0.048828411824478835,0.027511790593079743,0.9720378124775619,sleeve_252d
10.0,0.3579252633366114,0.49682554643455024,-0.05504413199395286,0.027511790593079743,0.9143027588654888,sleeve_252d
0.0,0.20019250396555635,0.2863087642258284,-0.06521004899543392,0.10339921978692992,0.7791794774309919,tsmom
2.0,-0.08467968224119306,-0.1193244758129164,-0.08363007397576394,0.10339921978692992,0.37262437648942326,tsmom
5.0,-0.5083166967433198,-0.7007776456135874,-0.13883191638615167,0.10339921978692992,0.025940753206953604,tsmom
10.0,-1.2033772233882793,-1.6011604211690649,-0.28473418785720794,0.10339921978692992,2.428754850181125e-06,tsmom
