bps,sharpe,sortino,max_dd,turnover,dsr,method
0.0,0.2939486814446669,0.4184108989628381,-0.1654085469138512,0.09542936742781762,0.9850677488273674,baseline
2.0,0.2778615752284973,0.3951532353082672,-0.1663596193531922,0.09542936742781762,0.979968668538834,baseline
5.0,0.2537243689008032,0.36033343175867344,-0.16778421092119222,0.09542936742781762,0.9695945059524957,baseline
10.0,0.2134859742884599,0.302485161564316,-0.1702021359981487,0.09542936742781762,0.9426819499028702,baseline
0.0,0.6409043658083005,0.9665336369740597,-0.025900461452775247,0.3733549759751426,0.9999991551709351,tsmom
2.0,0.505224883582691,0.7547153110455442,-0.03720897812893664,0.3733549759751426,0.9999171051247168,tsmom
5.0,0.3026664591445353,0.4458100095834514,-0.06600421011199309,0.3733549759751426,0.9877454931673513,tsmom
10.0,-0.03187358927512109,-0.045880457572976166,-0.14432011124857524,0.3733549759751426,0.4068807538642901,tsmom
0.0,0.5747808481830313,0.8216616720766996,-0.04831278337481926,0.4283742080871559,0.9999882635819293,xs_momentum
2.0,0.4476111646124496,0.6357650224939123,-0.05124165140478143,0.4283742080871559,0.9995117005387142,xs_momentum
5.0,0.25703023474221276,0.3615645800556969,-0.08396491987518906,0.4283742080871559,0.9710556489917516,xs_momentum
10.0,-0.059551662055811916,-0.08242848340420605,-0.16511195110709442,0.4283742080871559,0.32975650180559946,xs_momentum
0.0,-0.04232259791463881,-0.05923175084328933,-0.33465254643575426,0.41007965077030817,0.37713051747726756,carry
2.0,-0.1400120137159754,-0.19484562881421177,-0.3640788798213017,0.41007965077030817,0.15009419730721918,carry
5.0,-0.2857468604833293,-0.3942756303368829,-0.4057986236266451,0.41007965077030817,0.01717465804020446,carry
10.0,-0.5259637400913623,-0.7153982609636702,-0.46934400853113234,0.41007965077030817,4.8080107342030054e-05,carry
0.0,-0.19372006104008713,-0.26623744695707313,-0.19502508712653932,0.2352845231122428,0.075732409088063,seasonality
2.0,-0.2428799965520411,-0.33285651619660184,-0.21835140012156518,0.2352845231122428,0.03601009274817857,seasonality
5.0,-0.31645275032674103,-0.4318319347532652,-0.2591983370927602,0.2352845231122428,0.00950936626249621,seasonality
10.0,-0.43839370727703275,-0.5938961877860189,-0.3261141409019126,0.2352845231122428,0.0005733614426599032,seasonality
0.0,0.598646668623425,0.9090516081180486,-0.025254339830625416,0.34168861491658564,0.9999964361451086,seasonal_tilt
2.0,0.4665985972304061,0.70185605473017,-0.035925655825721714,0.34168861491658564,0.9997575348091108,seasonal_tilt
5.0,0.2695169457787779,0.3997428401425869,-0.06707530811987583,0.34168861491658564,0.9775705511028623,seasonal_tilt
10.0,-0.055786054766380745,-0.08085588531656722,-0.14690267654962197,0.34168861491658564,0.3401813223240805,seasonal_tilt
