bps,sharpe,sortino,max_dd,turnover,dsr,method,window,window_dates
0.0,0.11888213210552168,0.16604339850540462,-0.15924548063160193,2.0561274985916684,0.7835354215650074,ml_defaults,ml_defaults,10988
2.0,-0.4253458772458804,-0.5777900112956212,-0.23953968225994549,2.0561274985916684,0.002415150855800019,ml_defaults,ml_defaults,10988
5.0,-1.2395440222043912,-1.6164817010500068,-0.47817468890640136,2.0561274985916684,5.551115123125783e-17,ml_defaults,ml_defaults,10988
10.0,-2.581010479067293,-3.1528813286002437,-0.7423437123790613,2.0561274985916684,0.0,ml_defaults,ml_defaults,10988
0.0,0.11341052713306458,0.1595949938894614,-0.18410404341668918,1.3982727265421089,0.03738407278120459,ml_tuned,ml_defaults,10988
2.0,-0.24513792082915165,-0.3383171073937874,-0.23557541591560494,1.3982727265421089,1.6645327932274245e-05,ml_tuned,ml_defaults,10988
5.0,-0.7807258837178843,-1.0470921708473533,-0.3466547797086269,1.3982727265421089,7.438494264988549e-15,ml_tuned,ml_defaults,10988
10.0,-1.6637058769775461,-2.1308528052119464,-0.5956686278963896,1.3982727265421089,0.0,ml_tuned,ml_defaults,10988
0.0,0.7320480560231344,1.061038694056324,-0.06688938114022569,1.497846476395937,0.9999992798971038,tsmom,ml_defaults,10988
2.0,0.4760023271972568,0.6814779865080789,-0.08490852416209849,1.497846476395937,0.9991491095714105,tsmom,ml_defaults,10988
5.0,0.09459283172923402,0.13296940234106275,-0.1452075790949574,1.497846476395937,0.7338314993046705,tsmom,ml_defaults,10988
10.0,-0.5333238500303724,-0.7275204078383319,-0.4140220852693184,1.497846476395937,0.00021281635870146198,tsmom,ml_defaults,10988
0.0,0.4114084871189583,0.5851863276579569,-0.16140819094866043,0.10282905716751942,0.9966349414657691,baseline,ml_defaults,10988
2.0,0.4000857502864642,0.5686978035240635,-0.16221506867638014,0.10282905716751942,0.9957991048492522,baseline,ml_defaults,10988
5.0,0.3831027655936644,0.5440081934428331,-0.16342393210797623,0.10282905716751942,0.9941958186709462,baseline,ml_defaults,10988
10.0,0.3548008828593623,0.5029737420731463,-0.16543483559270122,0.10282905716751942,0.9902993649022904,baseline,ml_defaults,10988
0.0,0.7574591347085117,1.0818934647175107,-0.04290892892906317,0.5822674723067557,0.9999996603987382,xs_momentum,ml_defaults,10988
2.0,0.6423095053417819,0.9123420080240049,-0.0483748109167742,0.5822674723067557,0.9999876109396213,xs_momentum,ml_defaults,10988
5.0,0.4697273528029732,0.661689094579878,-0.0565153129950966,0.5822674723067557,0.9989952399556291,xs_momentum,ml_defaults,10988
10.0,0.1826185877599282,0.2537336129363013,-0.06992929168987072,0.5822674723067557,0.8856968803943737,xs_momentum,ml_defaults,10988
0.0,-0.6135123395419846,-0.8244371524868271,-0.6432754298178226,1.129175532549572,2.4027653117764114e-05,carry,ml_defaults,10988
2.0,-0.7881827466100824,-1.0494150515362128,-0.6854119658494049,1.129175532549572,8.59147310516839e-08,carry,ml_defaults,10988
5.0,-1.0470766241657539,-1.375101873572644,-0.7394847666126027,1.129175532549572,1.7565948695619227e-12,carry,ml_defaults,10988
10.0,-1.4689223616842977,-1.8862090605639286,-0.8098599001027224,1.129175532549572,0.0,carry,ml_defaults,10988
0.0,-0.28073939627457695,-0.38476128906882795,-0.28395013645153666,0.42971254222376176,0.03168633072602933,seasonality,ml_defaults,10988
2.0,-0.34055700859187393,-0.4652195537147306,-0.323952666674058,0.42971254222376176,0.012132522581077998,seasonality,ml_defaults,10988
5.0,-0.43003343922206266,-0.5845575098119274,-0.37981148013548793,0.42971254222376176,0.0022116707790629797,seasonality,ml_defaults,10988
10.0,-0.5781697324111414,-0.7793994293859359,-0.4628564291481635,0.42971254222376176,6.402864903931604e-05,seasonality,ml_defaults,10988
0.0,0.7008872027075058,1.0219117612058402,-0.06254570563129158,1.3577735674427407,0.9999981156367987,seasonal_tilt,ml_defaults,10988
2.0,0.4520913962585449,0.6511553819026371,-0.08283407065109594,1.3577735674427407,0.9985787448825911,seasonal_tilt,ml_defaults,10988
5.0,0.08148064565957856,0.1152455118977113,-0.15336650017358877,1.3577735674427407,0.7047208295336348,seasonal_tilt,ml_defaults,10988
10.0,-0.5285339976527943,-0.7256126720183104,-0.39255579032907884,1.3577735674427407,0.00024455462227562785,seasonal_tilt,ml_defaults,10988
0.0,0.12687543750189664,0.17721530003440725,-0.1592454806316035,2.4231843593916684,0.7716480507649651,ml_defaults,ml_tuned,8692
2.0,-0.4754465263925387,-0.6447507918109464,-0.23953968225994393,2.4231843593916684,0.002534707139113579,ml_defaults,ml_tuned,8692
5.0,-1.3759889109999335,-1.7866008862478004,-0.4674070774621515,2.4231843593916684,1.6653345369377348e-16,ml_defaults,ml_tuned,8692
