bps,sharpe,sortino,max_dd,turnover,dsr,method,trials,signal_coverage
0.0,-0.6845735184095514,-0.9409501737736472,-0.11847884623614224,0.1429896859465061,0.1504822943946431,baseline,1.0,1.0
2.0,-0.6944027550383997,-0.9539249910883937,-0.11912376181467166,0.1429896859465061,0.1470421990141617,baseline,1.0,1.0
5.0,-0.7091466396481735,-0.9733598826800451,-0.12009025353724123,0.1429896859465061,0.14198174381099948,baseline,1.0,1.0
10.0,-0.733719825430617,-1.0056786210837543,-0.12169872486786049,0.1429896859465061,0.1338126281459665,baseline,1.0,1.0
0.0,0.779592959673126,1.1291278312293906,-0.0388597158726538,1.9136694660382851,0.8794393500334918,tsmom,1.0,1.0
2.0,0.5505118567101988,0.7889118806995888,-0.042677025927365886,1.9136694660382851,0.7965806834256618,tsmom,1.0,1.0
5.0,0.20831374915977716,0.29382037643517017,-0.049228171996298586,1.9136694660382851,0.6235218635778159,tsmom,1.0,1.0
10.0,-0.3578941618207427,-0.49168780997887024,-0.06627555045527489,1.9136694660382851,0.2936478372966833,tsmom,1.0,1.0
0.0,1.2939515962636938,1.9260119375176892,-0.03926347162331367,0.73656369701339,0.9739662533709954,xs_momentum,1.0,1.0
2.0,1.173949035909147,1.7368082324688299,-0.04117927035890323,0.73656369701339,0.961121617233517,xs_momentum,1.0,1.0
5.0,0.9942102528026873,1.4576206838643413,-0.044045857818827416,0.73656369701339,0.9326174767354068,xs_momentum,1.0,1.0
10.0,0.6954209443392088,1.0043987750019785,-0.05089010528931781,0.73656369701339,0.8527021319006807,xs_momentum,1.0,1.0
0.0,-1.5129168776861037,-1.9987741789047926,-0.11885060649186885,2.6455871259740573,0.011218633372923337,carry,1.0,1.0
2.0,-1.7561590243440173,-2.2947983652242456,-0.13484099380973968,2.6455871259740573,0.004067129506334588,carry,1.0,1.0
5.0,-2.119074155029583,-2.7240693537333485,-0.15828567976561014,2.6455871259740573,0.0007218588687695759,carry,1.0,1.0
10.0,-2.7179806404518825,-3.4008414154768745,-0.19596078878971424,2.6455871259740573,2.3921837478846353e-05,carry,1.0,1.0
0.0,0.8279450111297901,1.2467300079337802,-0.04431503688045568,0.5562073339438387,0.8961392153443563,seasonality,1.0,1.0
2.0,0.7702405051542625,1.156129300203111,-0.04505153613027346,0.5562073339438387,0.8793201097052183,seasonality,1.0,1.0
5.0,0.6834769731143244,1.020967889568922,-0.046155333221206574,0.5562073339438387,0.8505986343447851,seasonality,1.0,1.0
10.0,0.5385937944019827,0.7979518174302629,-0.047992459552483324,0.5562073339438387,0.7932992350762825,seasonality,1.0,1.0
0.0,0.6437641198142308,0.9187250214536081,-0.03246855378918545,1.836091769952274,0.8337870985850369,seasonal_tilt,1.0,1.0
2.0,0.4071042556103155,0.5744589019158622,-0.03630529271942784,1.836091769952274,0.7304326482960233,seasonal_tilt,1.0,1.0
5.0,0.05394077169455029,0.074846254909346,-0.0444453932604022,1.836091769952274,0.5325135343358582,seasonal_tilt,1.0,1.0
10.0,-0.5293391129649355,-0.7144626516600655,-0.061133651362421326,1.836091769952274,0.21075710944697645,seasonal_tilt,1.0,1.0
0.0,0.7594239160135645,1.0720567270419101,-0.021239827837332248,3.182823105965788,0.8728319182118798,ml_defaults,1.0,0.9913494809688581
2.0,0.07193320509968404,0.09839596094255855,-0.025387626972821487,3.182823105965788,0.5433075735663481,ml_defaults,1.0,0.9913494809688581
5.0,-0.9567634972643851,-1.249289085751955,-0.04602926307366462,3.182823105965788,0.0721911377282567,ml_defaults,1.0,0.9913494809688581
10.0,-2.657732189689108,-3.2187436986854294,-0.08820836488153994,3.182823105965788,2.1606112954097867e-05,ml_defaults,1.0,0.9913494809688581
0.0,0.7980170459510955,1.1311066709717243,-0.026214999806052797,2.077203539224407,0.09120226831090256,ml_tuned,100.0,0.9913494809688581
2.0,0.3904118834224509,0.5428790491642311,-0.03112463484240291,2.077203539224407,0.026055001212572704,ml_tuned,100.0,0.9913494809688581
5.0,-0.21980572334440884,-0.2970891276088873,-0.044700538138771284,2.077203539224407,0.0020921973937944593,ml_tuned,100.0,0.9913494809688581
10.0,-1.2321556166111234,-1.5898046848442524,-0.07185845195725082,2.077203539224407,5.055405444265304e-06,ml_tuned,100.0,0.9913494809688581
