bps,sharpe,sortino,max_dd,turnover,dsr,method,window,window_dates
0.0,-0.6949764713800297,-0.9546523151033338,-0.11847884623614224,0.1428188499926938,0.14789901075381623,baseline,ml_defaults,573
2.0,-0.7047654036978932,-0.9675566899828301,-0.11912376181467166,0.1428188499926938,0.14452733802838313,baseline,ml_defaults,573
5.0,-0.7194488313225911,-0.986886126535242,-0.12009025353724123,0.1428188499926938,0.13956771106140226,baseline,ml_defaults,573
10.0,-0.7439212546173085,-1.0190296637708818,-0.12169872486786049,0.1428188499926938,0.13156172069865546,baseline,ml_defaults,573
0.0,0.7779888374072842,1.1257712692027897,-0.0388597158726538,1.912614530535575,0.8779091905692868,tsmom,ml_defaults,573
2.0,0.5493352629660476,0.7865609105777137,-0.042677025927365886,1.912614530535575,0.7950459294706973,tsmom,ml_defaults,573
5.0,0.2077986635825447,0.29287723283639444,-0.049228171996298586,1.912614530535575,0.6227061071824993,tsmom,ml_defaults,573
10.0,-0.35725570410379165,-0.49052992183795446,-0.06627555045527489,1.912614530535575,0.2947859345331424,tsmom,ml_defaults,573
0.0,1.2849107925180556,1.911894608954293,-0.03926347162331367,0.7368762616111159,0.9726236469318645,xs_momentum,ml_defaults,573
2.0,1.1651378815751376,1.723203386770493,-0.04117927035890323,0.7368762616111159,0.9593496450171375,xs_momentum,ml_defaults,573
5.0,0.9857429617711628,1.4447622963916984,-0.044045857818827416,0.7368762616111159,0.930099229928971,xs_momentum,ml_defaults,573
10.0,0.6875251186427603,0.9927267775089396,-0.05089010528931781,0.7368762616111159,0.848909957773802,xs_momentum,ml_defaults,573
0.0,-1.5328511569386114,-2.024665665082396,-0.11885060649186885,2.6653463032378446,0.010659105696041227,carry,ml_defaults,573
2.0,-1.7771630778071947,-2.321655157657413,-0.13484099380973968,2.6653463032378446,0.003842688366194391,carry,ml_defaults,573
5.0,-2.1417009691800915,-2.752308476013518,-0.15828567976561014,2.6653463032378446,0.0006766735637288024,carry,ml_defaults,573
10.0,-2.743362110468895,-3.4312124563876014,-0.19596078878971424,2.6653463032378446,2.217663065867681e-05,carry,ml_defaults,573
0.0,0.8275247233865582,1.2461758052263592,-0.04431503688045568,0.5596422366287467,0.8950280116041521,seasonality,ml_defaults,573
2.0,0.7696929942399462,1.1553811483532785,-0.04505153613027346,0.5596422366287467,0.8781227830979752,seasonality,ml_defaults,573
5.0,0.6827387740277235,1.0199309639694498,-0.046155333221206574,0.5596422366287467,0.849281359732872,seasonality,ml_defaults,573
10.0,0.5375388985357208,0.7964407701107306,-0.047992459552483324,0.5596422366287467,0.7918230308268486,seasonality,ml_defaults,573
0.0,0.6408924491959493,0.9136228688176702,-0.03246855378918545,1.8378542678373517,0.8316418937436849,seasonal_tilt,ml_defaults,573
2.0,0.4044368671088319,0.5701020638465709,-0.03630529271942784,1.8378542678373517,0.7282182403766113,seasonal_tilt,ml_defaults,573
5.0,0.05162273784503653,0.07156155511753227,-0.0444453932604022,1.8378542678373517,0.5309847012257285,seasonal_tilt,ml_defaults,573
10.0,-0.5309656735021445,-0.7160727872698457,-0.061133651362421326,1.8378542678373517,0.2110405301503489,seasonal_tilt,ml_defaults,573
0.0,0.7766223457740931,1.096518375451117,-0.021239827837332248,3.196074244250803,0.8770448910140175,ml_defaults,ml_defaults,573
2.0,0.08907791108449864,0.12188214688045934,-0.025387626972821487,3.196074244250803,0.5533327531286372,ml_defaults,ml_defaults,573
5.0,-0.9399075256587711,-1.2278208017073982,-0.04602926307366462,3.196074244250803,0.07670289864486873,ml_defaults,ml_defaults,573
10.0,-2.6422547105101795,-3.2020499951486237,-0.08784893610801314,3.196074244250803,2.582150174296194e-05,ml_defaults,ml_defaults,573
0.0,0.8337352478983148,1.1829341379204243,-0.026214999806052797,2.0797099786459277,0.09924144048958738,ml_tuned,ml_defaults,573
2.0,0.4269581947995931,0.5944088172063212,-0.03112463484240291,2.0797099786459277,0.029363961467964994,ml_tuned,ml_defaults,573
5.0,-0.18229719955327528,-0.24675136035106476,-0.044700538138771284,2.0797099786459277,0.0025100279162203476,ml_tuned,ml_defaults,573
10.0,-1.1939489819294344,-1.543325800403674,-0.07185845195725082,2.0797099786459277,6.869299647660476e-06,ml_tuned,ml_defaults,573
0.0,-0.6949764713800297,-0.9546523151033338,-0.11847884623614224,0.1428188499926938,0.14789901075381623,baseline,ml_tuned,573
2.0,-0.7047654036978932,-0.9675566899828301,-0.11912376181467166,0.1428188499926938,0.14452733802838313,baseline,ml_tuned,573
5.0,-0.7194488313225911,-0.986886126535242,-0.12009025353724123,0.1428188499926938,0.13956771106140226,baseline,ml_tuned,573
10.0,-0.7439212546173085,-1.0190296637708818,-0.12169872486786049,0.1428188499926938,0.13156172069865546,baseline,ml_tuned,573
0.0,0.7779888374072842,1.1257712692027897,-0.0388597158726538,1.912614530535575,0.8779091905692868,tsmom,ml_tuned,573
2.0,0.5493352629660476,0.7865609105777137,-0.042677025927365886,1.912614530535575,0.7950459294706973,tsmom,ml_tuned,573
5.0,0.2077986635825447,0.29287723283639444,-0.049228171996298586,1.912614530535575,0.6227061071824993,tsmom,ml_tuned,573
10.0,-0.35725570410379165,-0.49052992183795446,-0.06627555045527489,1.912614530535575,0.2947859345331424,tsmom,ml_tuned,573
0.0,1.2849107925180556,1.911894608954293,-0.03926347162331367,0.7368762616111159,0.9726236469318645,xs_momentum,ml_tuned,573
2.0,1.1651378815751376,1.723203386770493,-0.04117927035890323,0.7368762616111159,0.9593496450171375,xs_momentum,ml_tuned,573
5.0,0.9857429617711628,1.4447622963916984,-0.044045857818827416,0.7368762616111159,0.930099229928971,xs_momentum,ml_tuned,573
10.0,0.6875251186427603,0.9927267775089396,-0.05089010528931781,0.7368762616111159,0.848909957773802,xs_momentum,ml_tuned,573
0.0,-1.5328511569386114,-2.024665665082396,-0.11885060649186885,2.6653463032378446,0.010659105696041227,carry,ml_tuned,573
2.0,-1.7771630778071947,-2.321655157657413,-0.13484099380973968,2.6653463032378446,0.003842688366194391,carry,ml_tuned,573
5.0,-2.1417009691800915,-2.752308476013518,-0.15828567976561014,2.6653463032378446,0.0006766735637288024,carry,ml_tuned,573
10.0,-2.743362110468895,-3.4312124563876014,-0.19596078878971424,2.6653463032378446,2.217663065867681e-05,carry,ml_tuned,573
0.0,0.8275247233865582,1.2461758052263592,-0.04431503688045568,0.5596422366287467,0.8950280116041521,seasonality,ml_tuned,573
2.0,0.7696929942399462,1.1553811483532785,-0.04505153613027346,0.5596422366287467,0.8781227830979752,seasonality,ml_tuned,573
5.0,0.6827387740277235,1.0199309639694498,-0.046155333221206574,0.5596422366287467,0.849281359732872,seasonality,ml_tuned,573
10.0,0.5375388985357208,0.7964407701107306,-0.047992459552483324,0.5596422366287467,0.7918230308268486,seasonality,ml_tuned,573
0.0,0.6408924491959493,0.9136228688176702,-0.03246855378918545,1.8378542678373517,0.8316418937436849,seasonal_tilt,ml_tuned,573
2.0,0.4044368671088319,0.5701020638465709,-0.03630529271942784,1.8378542678373517,0.7282182403766113,seasonal_tilt,ml_tuned,573
5.0,0.05162273784503653,0.07156155511753227,-0.0444453932604022,1.8378542678373517,0.5309847012257285,seasonal_tilt,ml_tuned,573
10.0,-0.5309656735021445,-0.7160727872698457,-0.061133651362421326,1.8378542678373517,0.2110405301503489,seasonal_tilt,ml_tuned,573
0.0,0.7766223457740931,1.096518375451117,-0.021239827837332248,3.196074244250803,0.8770448910140175,ml_defaults,ml_tuned,573
2.0,0.08907791108449864,0.12188214688045934,-0.025387626972821487,3.196074244250803,0.5533327531286372,ml_defaults,ml_tuned,573
5.0,-0.9399075256587711,-1.2278208017073982,-0.04602926307366462,3.196074244250803,0.07670289864486873,ml_defaults,ml_tuned,573
10.0,-2.6422547105101795,-3.2020499951486237,-0.08784893610801314,3.196074244250803,2.582150174296194e-05,ml_defaults,ml_tuned,573
0.0,0.8337352478983148,1.1829341379204243,-0.026214999806052797,2.0797099786459277,0.09924144048958738,ml_tuned,ml_tuned,573
2.0,0.4269581947995931,0.5944088172063212,-0.03112463484240291,2.0797099786459277,0.029363961467964994,ml_tuned,ml_tuned,573
5.0,-0.18229719955327528,-0.24675136035106476,-0.044700538138771284,2.0797099786459277,0.0025100279162203476,ml_tuned,ml_tuned,573
10.0,-1.1939489819294344,-1.543325800403674,-0.07185845195725082,2.0797099786459277,6.869299647660476e-06,ml_tuned,ml_tuned,573
