bps,sharpe,sortino,max_dd,turnover,dsr,method,window
0.0,-3.2135743297176758,-3.7877773215154633,-0.6485354934584544,0.1762809180913384,0.0,daily_sign_neg_basis,develop_validate
2.0,-3.614293653890631,-4.1840332282708195,-0.6907552286545915,0.1762809180913384,0.0,daily_sign_neg_basis,develop_validate
5.0,-4.202888997855508,-4.739441127586681,-0.7447822818164915,0.1762809180913384,0.0,daily_sign_neg_basis,develop_validate
10.0,-5.14657712016568,-5.567713288979466,-0.8147831365042738,0.1762809180913384,0.0,daily_sign_neg_basis,develop_validate
0.0,0.19996073950861362,0.27925444517668085,-0.12706836402558463,0.01566436174421419,0.7782721036879029,month_start_sign_neg_basis,develop_validate
2.0,0.1628434653786282,0.2269307960001505,-0.1306281875795936,0.01566436174421419,0.7337860227556146,month_start_sign_neg_basis,develop_validate
5.0,0.10716994665093285,0.14886968749435056,-0.135940978620682,0.01566436174421419,0.6594836215584199,month_start_sign_neg_basis,develop_validate
10.0,0.014444083363518002,0.019958489844761146,-0.14522326101465177,0.01566436174421419,0.5221077438493784,month_start_sign_neg_basis,develop_validate
0.0,3.2135743297176758,5.672720546441836,-0.05416743474439545,0.1762809180913384,1.0,daily_sign_basis_inverse,develop_validate
2.0,2.806853895295534,4.833397424886552,-0.056374005298055696,0.1762809180913384,1.0,daily_sign_basis_inverse,develop_validate
5.0,2.1868909132747887,3.628705561868792,-0.05967429362326815,0.1762809180913384,1.0,daily_sign_basis_inverse,develop_validate
10.0,1.133042130471404,1.7680748249055376,-0.09742719105044684,0.1762809180913384,0.9999944586108543,daily_sign_basis_inverse,develop_validate
0.0,-1.5129168776861037,-1.9987741789047926,-0.11885060649186885,0.16534919537337858,0.011218633372923337,daily_sign_neg_basis,oot
2.0,-1.7561590243440173,-2.2947983652242456,-0.13484099380973968,0.16534919537337858,0.004067129506334588,daily_sign_neg_basis,oot
5.0,-2.119074155029583,-2.7240693537333485,-0.15828567976561014,0.16534919537337858,0.0007218588687695759,daily_sign_neg_basis,oot
10.0,-2.7179806404518825,-3.4008414154768745,-0.19596078878971424,0.16534919537337858,2.3921837478846353e-05,daily_sign_neg_basis,oot
0.0,0.031166508122672944,0.04342591952373054,-0.06295609222764709,0.020180637255022737,0.5188032712459301,month_start_sign_neg_basis,oot
2.0,0.0005737442918780837,0.0007981211716835912,-0.06377680613513015,0.020180637255022737,0.5003463493202605,month_start_sign_neg_basis,oot
5.0,-0.0452743178040702,-0.06282369397531588,-0.06500659555073918,0.020180637255022737,0.472682376226804,month_start_sign_neg_basis,oot
10.0,-0.12154994288653376,-0.16795577326438052,-0.06705283190867473,0.020180637255022737,0.42697631627636223,month_start_sign_neg_basis,oot
0.0,1.5129168776861037,2.2954056394318463,-0.04595023778140239,0.16534919537337858,0.9887813666270766,daily_sign_basis_inverse,oot
2.0,1.2687456973337576,1.903565727268083,-0.0471183563017632,0.16534919537337858,0.9723505739775078,daily_sign_basis_inverse,oot
5.0,0.9009586247151379,1.3292074972501429,-0.048867944909284255,0.16534919537337858,0.9134897840072068,daily_sign_basis_inverse,oot
10.0,0.28472727218182386,0.4084069808191904,-0.05305069836681453,0.16534919537337858,0.6667379947644285,daily_sign_basis_inverse,oot
