window,method,date,ret
develop_validate,baseline,2010-06-13,0.00024163
develop_validate,baseline,2010-06-14,0.0033256
develop_validate,baseline,2010-06-15,0.00193512
develop_validate,baseline,2010-06-16,0.00093296
develop_validate,baseline,2010-06-17,0.0020004
develop_validate,baseline,2010-06-18,-0.0003105
develop_validate,baseline,2010-06-20,0.00031351
develop_validate,baseline,2010-06-21,-0.0015234
develop_validate,baseline,2010-06-22,-0.00105022
develop_validate,baseline,2010-06-23,-0.00016989
develop_validate,baseline,2010-06-24,-0.00022878
develop_validate,baseline,2010-06-25,0.00107811
develop_validate,baseline,2010-06-27,0.00029016
develop_validate,baseline,2010-06-28,-0.00189073
develop_validate,baseline,2010-06-29,-0.00548653
develop_validate,baseline,2010-06-30,0.00347809
develop_validate,baseline,2010-07-01,0.00164781
develop_validate,baseline,2010-07-02,-0.00055439
develop_validate,baseline,2010-07-04,-0.00024333
develop_validate,baseline,2010-07-05,-3.281e-05
develop_validate,baseline,2010-07-06,0.00144422
develop_validate,baseline,2010-07-07,0.0039024
develop_validate,baseline,2010-07-08,0.00134307
develop_validate,baseline,2010-07-09,0.00022729
develop_validate,baseline,2010-07-11,0.00012614
develop_validate,baseline,2010-07-12,-0.00124414
develop_validate,baseline,2010-07-13,0.00282288
develop_validate,baseline,2010-07-14,0.00202761
develop_validate,baseline,2010-07-15,0.00461861
develop_validate,baseline,2010-07-16,-0.00217594
develop_validate,baseline,2010-07-18,-0.00069179
develop_validate,baseline,2010-07-19,-0.00099078
develop_validate,baseline,2010-07-20,0.00123814
develop_validate,baseline,2010-07-21,-0.00022655
develop_validate,baseline,2010-07-22,0.00406251
develop_validate,baseline,2010-07-23,0.00014362
develop_validate,baseline,2010-07-25,0.00029947
develop_validate,baseline,2010-07-26,0.00108916
develop_validate,baseline,2010-07-27,-0.00129869
develop_validate,baseline,2010-07-28,0.00180711
develop_validate,baseline,2010-07-29,0.0027165
develop_validate,baseline,2010-07-30,0.00359868
develop_validate,baseline,2010-08-01,0.00018673
develop_validate,baseline,2010-08-02,0.00357319
develop_validate,baseline,2010-08-03,0.00113642
develop_validate,baseline,2010-08-04,0.00183005
develop_validate,baseline,2010-08-05,0.00101509
develop_validate,baseline,2010-08-06,-1.308e-05
develop_validate,baseline,2010-08-08,-0.00019744
develop_validate,baseline,2010-08-09,-0.00095602
develop_validate,baseline,2010-08-10,-0.00144741
develop_validate,baseline,2010-08-11,-0.00566813
develop_validate,baseline,2010-08-12,-0.00140328
develop_validate,baseline,2010-08-13,-0.0004799
develop_validate,baseline,2010-08-15,-0.00023149
develop_validate,baseline,2010-08-16,0.00089093
develop_validate,baseline,2010-08-17,0.00189588
develop_validate,baseline,2010-08-18,0.00020755
develop_validate,baseline,2010-08-19,-0.00102005
develop_validate,baseline,2010-08-20,-0.00296509
develop_validate,baseline,2010-08-22,3.719e-05
develop_validate,baseline,2010-08-23,-0.00057361
develop_validate,baseline,2010-08-24,-0.00268656
develop_validate,baseline,2010-08-25,-0.0007214
develop_validate,baseline,2010-08-26,0.00216494
develop_validate,baseline,2010-08-27,0.00104014
develop_validate,baseline,2010-08-29,0.00012719
develop_validate,baseline,2010-08-30,0.00144736
develop_validate,baseline,2010-08-31,-0.00131496
develop_validate,baseline,2010-09-01,0.00521228
develop_validate,baseline,2010-09-02,0.00091166
develop_validate,baseline,2010-09-03,0.00320293
develop_validate,baseline,2010-09-05,0.00013899
develop_validate,baseline,2010-09-06,0.00010893
develop_validate,baseline,2010-09-07,-0.00132661
develop_validate,baseline,2010-09-08,0.00065472
develop_validate,baseline,2010-09-09,-0.0010093
develop_validate,baseline,2010-09-10,0.00039511
develop_validate,baseline,2010-09-12,0.00045675
develop_validate,baseline,2010-09-13,0.00351808
develop_validate,baseline,2010-09-14,0.00376319
develop_validate,baseline,2010-09-15,-0.00180349
develop_validate,baseline,2010-09-16,0.00067971
develop_validate,baseline,2010-09-17,0.00159542
develop_validate,baseline,2010-09-19,-0.00028596
develop_validate,baseline,2010-09-20,0.00038926
develop_validate,baseline,2010-09-21,0.00179456
develop_validate,baseline,2010-09-22,0.00252304
develop_validate,baseline,2010-09-23,-0.00011415
develop_validate,baseline,2010-09-24,0.0045463
develop_validate,baseline,2010-09-26,0.00024996
develop_validate,baseline,2010-09-27,-0.00124215
develop_validate,baseline,2010-09-28,0.00040766
develop_validate,baseline,2010-09-29,0.00201693
develop_validate,baseline,2010-09-30,-0.00118444
develop_validate,baseline,2010-10-01,0.00100134
develop_validate,baseline,2010-10-03,-0.00016902
develop_validate,baseline,2010-10-04,-0.00135989
develop_validate,baseline,2010-10-05,0.00626144
develop_validate,baseline,2010-10-06,0.00264771
develop_validate,baseline,2010-10-07,-0.00163083
develop_validate,baseline,2010-10-08,0.00548715
develop_validate,baseline,2010-10-10,2.851e-05
develop_validate,baseline,2010-10-11,0.00090816
develop_validate,baseline,2010-10-12,-0.0005321
develop_validate,baseline,2010-10-13,0.00394345
develop_validate,baseline,2010-10-14,0.00062702
develop_validate,baseline,2010-10-15,-0.00038563
develop_validate,baseline,2010-10-17,-0.00024873
develop_validate,baseline,2010-10-18,0.00063212
develop_validate,baseline,2010-10-19,-0.00709625
develop_validate,baseline,2010-10-20,0.00452772
develop_validate,baseline,2010-10-21,-0.00307868
develop_validate,baseline,2010-10-22,0.00055428
develop_validate,baseline,2010-10-24,-0.00012375
develop_validate,baseline,2010-10-25,0.0030805
develop_validate,baseline,2010-10-26,4.491e-05
develop_validate,baseline,2010-10-27,-0.00246113
develop_validate,baseline,2010-10-28,0.00433933
develop_validate,baseline,2010-10-29,0.00097932
develop_validate,baseline,2010-10-31,0.00057865
develop_validate,baseline,2010-11-01,-6.94e-05
develop_validate,baseline,2010-11-02,0.00259608
develop_validate,baseline,2010-11-03,6.81e-05
develop_validate,baseline,2010-11-04,0.00758986
develop_validate,baseline,2010-11-05,0.00093951
develop_validate,baseline,2010-11-07,-3.294e-05
develop_validate,baseline,2010-11-08,-0.00013736
develop_validate,baseline,2010-11-09,-0.00133475
develop_validate,baseline,2010-11-10,-0.00165839
develop_validate,baseline,2010-11-11,-0.00211758
develop_validate,baseline,2010-11-12,-0.00757221
develop_validate,baseline,2010-11-14,-0.00016752
develop_validate,baseline,2010-11-15,-0.0013011
develop_validate,baseline,2010-11-16,-0.00801061
develop_validate,baseline,2010-11-17,0.00056186
develop_validate,baseline,2010-11-18,0.00482149
develop_validate,baseline,2010-11-19,3.934e-05
develop_validate,baseline,2010-11-21,0.00044283
develop_validate,baseline,2010-11-22,0.00025761
develop_validate,baseline,2010-11-23,-0.00289727
develop_validate,baseline,2010-11-24,0.00095199
develop_validate,baseline,2010-11-25,0.00099635
develop_validate,baseline,2010-11-26,-0.00198315
develop_validate,baseline,2010-11-28,-0.00038199
develop_validate,baseline,2010-11-29,-0.00018034
develop_validate,baseline,2010-11-30,-0.00105923
develop_validate,baseline,2010-12-01,0.00621555
develop_validate,baseline,2010-12-02,0.00154179
develop_validate,baseline,2010-12-03,0.00386724
develop_validate,baseline,2010-12-05,0.00018462
develop_validate,baseline,2010-12-06,0.00118277
develop_validate,baseline,2010-12-07,-0.00239423
develop_validate,baseline,2010-12-08,0.00032994
